,,ID:059,引導,評估(口語、跟讀的內容有關),評估(非口語、寶寶自發性動作、跟讀的內容有關),延伸討論 2 大月齡或發展較快者(物體為主角討論),複述,開放式問題,填空,回想,人事時地物問句,,,,,,連結生活經驗(跟小朋友本身相關的),備註
02:37,*MOT,這邊還有一隻毛茸茸的小熊喔,,,,,,,,,,,,,,,,
02:39,*MOT,在哪裡 在這裡,,,,,,,,,,,,1,,,,
燕 宇,*act,寶寶手指小熊,,,,,,,,,,,,,,,,
02:41,*MOT,答對了你找到了 好棒喔,,,1,,,,,,,,,,,,,
燕 宇,*act,寶寶嘗試翻開小頁,,,,,,,,,,,,,,,,
02:44,*MOT,哇 找到了 他躲在這裡,,,1,,,,,,,,,,,,,
燕,*act,寶寶手指書本某處(寶寶手指中頁小熊),,,,,,,,,,,,,,,,
02:47,*MOT,這個是熊寶寶 (媽媽看著右頁說)-不算評估,,,,,,,,,,,,,,,,
02:48,*MOT,這個是熊媽媽耶,,,,,,,,,,,,,,,,
02:50,*MOT,你看 熊寶寶跟媽媽抱在一起喔,,,,,,,,,,,,,,,,
02:54,*MOT,讓我們來抱一下吧(媽媽抱寶寶),,,,,,,,,,,,,,,,
02:56,*MOT,哇 你看,,,,,,,,,,,,,,,,
02:58,*MOT,毛茸茸的小熊在哪裡,,,,,,,,,,,,1,,,,
03:00,*MOT,在這裡耶 對不對,,,,,,,,,,,,,,,,
03:02,*MOT,小熊對不對,,,,,,,,,,,,,,,,
燕 宇,*act,寶寶手摸小熊,,,,,,,,,,,,,,,,
03:05,*MOT,哇 你最喜歡這個毛茸茸的小熊了喔,,,1,,,,,,,,,,,,,
03:09,*MOT,對不對,,,,,,,,,,,,,,,,
03:11,*MOT,嗯 躲貓貓,,,,,,,,,,,,,,,,
03:13,*MOT,(寶寶名)最喜歡玩躲貓貓囉,,,,,,,,,,,,,,,,
03:18,*MOT,來你看 這邊還有,,,,,,,,,,,,,,,,
03:21,*MOT,這個你喜歡的喔,,,,,,,,,,,,,,,,
03:23,*MOT,大象,,,,,,,,,,,,,,,,
03:25,*MOT,灰色的大象,,,,,,,,,,,,,,,,
03:31,*MOT,還有這個,,,,,,,,,,,,,,,,
03:33,*MOT,消防員,,,,,,,,,,,,,,,,
03:35,*MOT,登愣,,,,,,,,,,,,,,,,
燕,*act,寶寶指著書上某處,,,,,,,,,,,,,,,,
03:38,*MOT,啊 所以,,,,,,,,,,,,,,,,
03:40,*MOT,你看這個消防隊在這裡,,,,,,,,,,,,,,,,
03:42,*MOT,我們不可以亂打119喔,,,,,,,,,,,,,,,1,
03:44,*MOT,119要有緊急的狀況才可以打喔,,,,,,,,,,,,,,,,
03:47,*MOT,知道嗎,,,,,,,,,,,,,,,,
燕 宇,*act,寶寶翻回封面,,,,,,,,,,,,,,,,
03:49,*MOT,喔 你還是最喜歡這個封面的,,,1,,,,,,,,,,,,,
燕,*act,寶寶指著封面上的熊,,,,,,,,,,,,,,,,
03:52,*MOT,熊寶寶喔,,,,,,,,,,,,,,,,
03:54,*MOT,熊寶寶,,,,,,,,,,,,,,,,
03:55,*MOT,熊寶寶,,,,,,,,,,,,,,,,
03:56,*MOT,熊寶寶的,,,,,,,,,,,,,,,,
03:58,*MOT,身體毛毛的,,,,,,,,,,,,,,,,
04:01,*MOT,好了 我們的閱讀時間結束,,,,,,,,,,,,,,,,
04:11,*MOT,(寶寶名)你看,,,,,,,,,,,,,,,,
04:15,*MOT,這是什麼,,,,,,,,,,1,,,,,,
燕,*act,寶寶指著書上的熊,,,,,,,,,,,,,,,,
04:16,*MOT,眼睛,,,,,,,,,,,,,,,,
04:18,*MOT,有兩個眼睛,,,,,,,,,,,,,,,,
04:20,*MOT,一個鼻子,,,,,,,,,,,,,,,,
04:22,*MOT,眼睛在哪裡,,,,,,,,,,,,1,,,,
04:23,*MOT,眼睛,,,,,,,,,,,,,,,,
04:24,*MOT,(寶寶名)眼睛在哪裡,,,,,,,,,,,,1,,,1,
燕,*act,寶寶指著書上的熊,,,,,,,,,,,,,,,,
04:26,*MOT,鼻子,,,,,,,,,,,,,,,,
04:28,*MOT,(寶寶名)鼻子在哪裡,,,,,,,,,,,,1,,,1,
04:30,*MOT,鼻子,,,,,,,,,,,,,,,,
04:33,*MOT,你的嘴巴呢,,,,,,,,,,,,,,,1,
04:35,*MOT,(寶寶名)嘴巴在哪裏,,,,,,,,,,,,1,,,,
04:37,*MOT,(寶寶名)的嘴巴在哪裡,,,,,,,,,,,,,,,,
04:38,*MOT,(寶寶名)嘴巴在這裡,,,,,,,,,,,,,,,,
燕 宇,*act,寶寶手指小熊嘴巴,,,,,,,,,,,,,,,,
04:40,*MOT,嘴巴 答對 嘴巴在這裡 好厲害喔,,,1,,,,,,,,,,,,,
04:42,*MOT,你看,,,,,,,,,,,,,,,,
04:44,*MOT,嘿嘿,,,,,,,,,,,,,,,,
燕,*CHI,嗯,,,,,,,,,,,,,,,,
04:45,*MOT,吼,,1,,,,,,,,,,,,,,
04:47,*MOT,吼,,,,,,,,,,,,,,,,
04:49,*MOT,這樣子吼,,,,,,,,,,,,,,,,
04:51,*MOT,吼,,,,,,,,,,,,,,,,
04:52,*MOT,喔你看,,,,,,,,,,,,,,,,
04:54,*MOT,這裡還有火車,,,,,,,,,,,,,,,,
04:56,*MOT,你看,,,,,,,,,,,,,,,,
04:57,%END,你看這裡可以摸喔,,,,,,,,,,,,,,,,
05:04,,嘿嘿嘿,,,,,,,,,,,,,,,,
05:08,,你看你看,,,,,,,,,,,,,,,,
05:09,,小馬耶,,,,,,,,,,,,,,,,
05:10,,小馬在這裡,,,,,,,,,,,,,,,,
05:12,,好,,,,,,,,,,,,,,,,
05:13,,來來來 過來過來,,,,,,,,,,,,,,,,
05:15,,媽媽知道,,,,,,,,,,,,,,,,
05:16,,來 這裡,,,,,,,,,,,,,,,,
05:17,,你看,,,,,,,,,,,,,,,,
05:24,,呀 來,,,,,,,,,,,,,,,,
05:27,,嗯,,,,,,,,,,,,,,,,
